state_code,state,county_code,county,site_number,parameter,sample_measurement,units_of_measure,latitude,longitude,date_local,time_local,date_gmt,time_gmt,method_type,method_code,method,date_of_last_change,cbsa_code
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,2.6,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-05-12,00:00,2019-05-12,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-04-14,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,2.6,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-05-21,00:00,2019-05-21,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-04-14,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,19.4,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-06-23,00:00,2019-06-23,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-04-15,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,5.9,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-06-02,00:00,2019-06-02,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-04-15,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,3.1,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-06-08,00:00,2019-06-08,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-04-15,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,22.7,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-06-14,00:00,2019-06-14,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-04-15,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,8.0,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-06-17,00:00,2019-06-17,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-04-15,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,7.5,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-06-20,00:00,2019-06-20,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-04-15,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,1.9,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-03-10,00:00,2019-03-10,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-03-04,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,2.3,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-03-01,00:00,2019-03-01,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-03-04,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,1.5,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-03-04,00:00,2019-03-04,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-03-04,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,1.8,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-03-07,00:00,2019-03-07,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-03-04,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,1.0,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-03-13,00:00,2019-03-13,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-03-04,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,3.0,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-03-19,00:00,2019-03-19,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-03-04,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,4.1,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-03-25,00:00,2019-03-25,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-03-04,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,3.8,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-03-31,00:00,2019-03-31,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-03-04,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,2.3,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-04-21,00:00,2019-04-21,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-03-04,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,2.8,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-04-06,00:00,2019-04-06,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-03-04,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,3.0,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-04-03,00:00,2019-04-03,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-03-04,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,1.6,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-04-12,00:00,2019-04-12,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-03-04,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,2.3,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-04-18,00:00,2019-04-18,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2020-03-04,37740
04,Arizona,007,Gila,0010,Acceptable PM2.5 AQI & Speciation Mass,2.9,Micrograms/cubic meter (LC),33.6547,-111.1074,2019-01-30,00:00,2019-01-30,07:00,Non-FRM,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2019-12-06,37740
